"epoch","0327144331 - _step","0327144331 - _step__MIN","0327144331 - _step__MAX","0327144331 - test_loss","0327144331 - test_loss__MIN","0327144331 - test_loss__MAX","0327144331 - train_loss","0327144331 - train_loss__MIN","0327144331 - train_loss__MAX"
"0","0.5","0","1","1571.1650390625","1571.1650390625","1571.1650390625","1784.728759765625","1784.728759765625","1784.728759765625"
"1","2.5","2","3","1547.581298828125","1547.581298828125","1547.581298828125","1759.3626708984375","1759.3626708984375","1759.3626708984375"
"2","4.5","4","5","321.8877868652344","321.8877868652344","321.8877868652344","317.4275817871094","317.4275817871094","317.4275817871094"
"3","6.5","6","7","212.26565551757812","212.26565551757812","212.26565551757812","200.4496307373047","200.4496307373047","200.4496307373047"
"4","8.5","8","9","194.53724670410156","194.53724670410156","194.53724670410156","183.3488311767578","183.3488311767578","183.3488311767578"
"5","10.5","10","11","181.61585998535156","181.61585998535156","181.61585998535156","171.3201446533203","171.3201446533203","171.3201446533203"
"6","12.5","12","13","170.2450408935547","170.2450408935547","170.2450408935547","161.6073455810547","161.6073455810547","161.6073455810547"
"7","14.5","14","15","162.33583068847656","162.33583068847656","162.33583068847656","153.68478393554688","153.68478393554688","153.68478393554688"
"8","16.5","16","17","154.1067657470703","154.1067657470703","154.1067657470703","146.9652099609375","146.9652099609375","146.9652099609375"
"9","18.5","18","19","147.8981475830078","147.8981475830078","147.8981475830078","141.22271728515625","141.22271728515625","141.22271728515625"
"10","20.5","20","21","141.90589904785156","141.90589904785156","141.90589904785156","136.48284912109375","136.48284912109375","136.48284912109375"
"11","22.5","22","23","137.44012451171875","137.44012451171875","137.44012451171875","132.0898895263672","132.0898895263672","132.0898895263672"
"12","24.5","24","25","133.74966430664062","133.74966430664062","133.74966430664062","128.5680694580078","128.5680694580078","128.5680694580078"
"13","26.5","26","27","129.42105102539062","129.42105102539062","129.42105102539062","125.18736267089844","125.18736267089844","125.18736267089844"
"14","28.5","28","29","126.88207244873047","126.88207244873047","126.88207244873047","122.53862762451172","122.53862762451172","122.53862762451172"
"15","30.5","30","31","123.0789794921875","123.0789794921875","123.0789794921875","119.82319641113281","119.82319641113281","119.82319641113281"
"16","32.5","32","33","120.43109893798828","120.43109893798828","120.43109893798828","117.6405258178711","117.6405258178711","117.6405258178711"
"17","34.5","34","35","119.12023162841797","119.12023162841797","119.12023162841797","115.88744354248047","115.88744354248047","115.88744354248047"
"18","36.5","36","37","116.10395812988281","116.10395812988281","116.10395812988281","113.8411636352539","113.8411636352539","113.8411636352539"
"19","38.5","38","39","114.22056579589844","114.22056579589844","114.22056579589844","112.43931579589844","112.43931579589844","112.43931579589844"
"20","40.5","40","41","112.61565399169922","112.61565399169922","112.61565399169922","110.88467407226562","110.88467407226562","110.88467407226562"
"21","42.5","42","43","111.5007553100586","111.5007553100586","111.5007553100586","109.63735961914062","109.63735961914062","109.63735961914062"
"22","44.5","44","45","109.42407989501953","109.42407989501953","109.42407989501953","108.53977966308594","108.53977966308594","108.53977966308594"
"23","46.5","46","47","108.6769790649414","108.6769790649414","108.6769790649414","108.21222686767578","108.21222686767578","108.21222686767578"
"24","48.5","48","49","107.0118637084961","107.0118637084961","107.0118637084961","106.2933120727539","106.2933120727539","106.2933120727539"
"25","50.5","50","51","105.89972686767578","105.89972686767578","105.89972686767578","105.4687271118164","105.4687271118164","105.4687271118164"
"26","52.5","52","53","105.38740539550781","105.38740539550781","105.38740539550781","104.6392822265625","104.6392822265625","104.6392822265625"
"27","54.5","54","55","104.34051513671875","104.34051513671875","104.34051513671875","103.95927429199219","103.95927429199219","103.95927429199219"
"28","56.5","56","57","104.4220962524414","104.4220962524414","104.4220962524414","103.76388549804688","103.76388549804688","103.76388549804688"
"29","58.5","58","59","103.3265380859375","103.3265380859375","103.3265380859375","102.85558319091797","102.85558319091797","102.85558319091797"
"30","60.5","60","61","102.27672576904297","102.27672576904297","102.27672576904297","102.06214141845703","102.06214141845703","102.06214141845703"
"31","62.5","62","63","101.47914123535156","101.47914123535156","101.47914123535156","101.92333221435547","101.92333221435547","101.92333221435547"
"32","64.5","64","65","100.57010650634766","100.57010650634766","100.57010650634766","101.18134307861328","101.18134307861328","101.18134307861328"
"33","66.5","66","67","100.84175109863281","100.84175109863281","100.84175109863281","101.41686248779297","101.41686248779297","101.41686248779297"
"34","68.5","68","69","100.3615493774414","100.3615493774414","100.3615493774414","100.33686065673828","100.33686065673828","100.33686065673828"
"35","70.5","70","71","99.5956039428711","99.5956039428711","99.5956039428711","100.04467010498047","100.04467010498047","100.04467010498047"
"36","72.5","72","73","98.99624633789062","98.99624633789062","98.99624633789062","99.72892761230469","99.72892761230469","99.72892761230469"
"37","74.5","74","75","98.86014556884766","98.86014556884766","98.86014556884766","99.357421875","99.357421875","99.357421875"
"38","76.5","76","77","98.93588256835938","98.93588256835938","98.93588256835938","99.28473663330078","99.28473663330078","99.28473663330078"
"39","78.5","78","79","97.81190490722656","97.81190490722656","97.81190490722656","98.66682434082031","98.66682434082031","98.66682434082031"
